date,index,return,volatility,change_in_volatility,directionality
2018-03-01,100.4319017,,,,
2018-03-02,100.4641868,0.00032146259757626083,,,1
2018-03-03,100.4393083,-0.00024763550865669615,,,0
2018-03-04,100.4144297,-0.00024769784281752916,,,0
2018-03-05,100.3895512,-0.00024775821636713324,,,0
2018-03-06,100.3646727,-0.0002478196157131851,,,0
2018-03-07,100.3397942,-0.0002478810454985547,,,0
2018-03-08,100.3149156,-0.0002479435023596821,,,0
2018-03-09,100.2900371,-0.0002480039967256431,,,0
2018-03-10,100.3095981,0.00019504429917094335,,,1
2018-03-11,100.329159,0.00019500526739735236,,,1
2018-03-12,100.34872,0.0001949682444761791,,,1
2018-03-13,100.368281,0.0001949302392696417,,,1
2018-03-14,100.387842,0.00019489224887703216,,,1
2018-03-15,100.4074029,0.00019485327715274003,,,1
2018-03-16,100.4269639,0.0001948163126925806,,,1
2018-03-17,100.4322815,5.294992294402334e-05,,,1
2018-03-18,100.437599,5.29461237022133e-05,,,1
2018-03-19,100.4429166,5.294431620161966e-05,,,1
2018-03-20,100.4482341,5.2940517659028075e-05,,,1
2018-03-21,100.4535517,5.293871064693256e-05,,,1
2018-03-22,100.4588692,5.293491280289331e-05,,,1
2018-03-23,100.4641868,5.2933106278629793e-05,,,1
2018-03-24,100.4161389,-0.000478258984922042,,,0
2018-03-25,100.3680911,-0.0004784868301683787,,,0
2018-03-26,100.3200432,-0.0004787168857494084,,,0
2018-03-27,100.2719954,-0.00047894516855639946,,,0
2018-03-28,100.2239475,-0.00047917566423538727,,,0
2018-03-29,100.1758997,-0.0004794043858629138,,,0
2018-03-30,100.1278518,-0.000479635322905958,,,0
2018-03-31,100.1234838,-4.3624225642302505e-05,0.0002698278664951559,,0
2018-04-01,100.1191158,-4.362612879837968e-05,0.0002580228570813737,-0.04375014918629283,0
2018-04-02,100.1147478,-4.362803212054622e-05,0.00025708377384653835,-0.0036395350607996146,0
2018-04-03,100.1103799,-4.362893675491364e-05,0.00025595317719768833,-0.004397775215190802,0
2018-04-04,100.1060119,-4.3631839219515633e-05,0.0002546283728605303,-0.0051759636339064885,0
2018-04-05,100.1016439,-4.363374303995027e-05,0.0002531061345229601,-0.00597827461436895,0
2018-04-06,100.0972759,-4.363564702658529e-05,0.0002513827076961836,-0.006809107294158401,0
2018-04-07,100.1071514,9.865902854211406e-05,0.0002513927130686552,3.9801355325108645e-05,1
2018-04-08,100.1170268,9.864829696870636e-05,0.0002508510473230767,-0.0021546596914707727,1
2018-04-09,100.1269023,9.863956527311757e-05,0.00024810650562469717,-0.01094092182459483,1
2018-04-10,100.1367777,9.862883773648079e-05,0.0002452888907583869,-0.011356473137275946,1
2018-04-11,100.1466532,9.862010968220147e-05,0.00024239566537376386,-0.01179517496971727,1
2018-04-12,100.1565286,9.860938617967108e-05,0.0002394241164765625,-0.012259084305898615,1
2018-04-13,100.1664041,9.860066176448079e-05,0.0002363713779203653,-0.012750338608834455,1
2018-04-14,100.1521607,-0.00014219737773335517,0.00023112448299810633,-0.02219767455950894,0
2018-04-15,100.1379172,-0.00014221859918384094,0.00022517832361796107,-0.02572708569430948,0
2018-04-16,100.1236738,-0.00014223782956812592,0.0002235386286906501,-0.007281761854186719,0
2018-04-17,100.1094303,-0.00014225906281128964,0.00022168957677249002,-0.008271733297241068,0
2018-04-18,100.0951869,-0.00014227830442459233,0.00021962576572261505,-0.009309463619902036,0
2018-04-19,100.0809434,-0.00014229954947020396,0.00021734108551979984,-0.0104026055198857,0
2018-04-20,100.0667,-0.00014231880232251637,0.0002148283724899174,-0.011561150639663675,0
2018-04-21,100.0534061,-0.0001328503887906285,0.00021207542729385955,-0.012814625759858922,0
2018-04-22,100.0401123,-0.00013286704089532364,0.0002090966556455488,-0.014045812314612327,0
2018-04-23,100.0268184,-0.00013288569649083648,0.00019915749738595438,-0.047533798323598386,0
2018-04-24,100.0135245,-0.00013290335744586823,0.00018795251426554277,-0.05626191967404104,0
2018-04-25,100.0002307,-0.00013292002323150864,0.00017523745288390092,-0.06765039260755923,0
2018-04-26,99.98693681,-0.00013293859331064972,0.00016065273112719403,-0.08322833684628828,0
2018-04-27,99.97364295,-0.00013295596829077105,0.0001436279377368606,-0.10597263595135742,0
2018-04-28,99.98541751,0.00011777664244849717,0.0001272972186503144,-0.11370154960008938,1
2018-04-29,99.99719208,0.00011776287275910846,0.00010465779522601416,-0.17784696055685834,1
2018-04-30,100.0089666,0.00011774850628376576,0.00010872042337259156,0.03881820878993225,1
2018-05-01,100.0207412,0.00011773544313387063,0.00011236994734759009,0.033567970596392716,1
2018-05-02,100.0325158,0.0001177215831309475,0.00011564550308417433,0.029149748788722674,1
2018-05-03,100.0442903,0.00011770672671618243,0.00011857810765390509,0.025358569866709146,1
2018-05-04,100.0560649,0.00011769387303051104,0.00012119278497964567,0.022050253436090017,1
2018-05-05,100.0459995,-0.00010059760005609597,0.00012207352668296565,0.007267278357105944,0
2018-05-06,100.0359342,-0.00010060672141110061,0.00012291781235427646,0.006916206111612366,0
2018-05-07,100.0258688,-0.00010061784378279093,0.00012163832809949387,-0.01040926640554618,0
2018-05-08,100.0158035,-0.00010062696901058654,0.00011996594068712632,-0.013748852343643092,0
2018-05-09,100.0057381,-0.00010063809565852289,0.00011788389260785568,-0.017355326581405817,0
2018-05-10,99.99567278,-0.0001006474247500222,0.00011537005071669838,-0.021324727539492327,0
2018-05-11,99.98560743,-0.00010065785568691421,0.00011239537721871907,-0.02578375825875201,0
2018-05-12,100.0013702,0.00015765038994275393,0.00011562369613391966,0.028722879846902805,1
2018-05-13,100.0171329,0.00015762484022441292,0.00011872938919904182,0.026860351026358975,1
2018-05-14,100.0328956,0.00015759999854991769,0.00012320812035164722,0.03772217799501276,1
2018-05-15,100.0486584,0.00015757616437528377,0.0001267151305107182,0.028464115425685055,1
2018-05-16,100.0644211,0.00015755033852626887,0.00012932948574107873,0.020631752655136726,1
2018-05-17,100.0801839,0.0001575265196831488,0.00013110466874743262,0.013726050143799906,1
2018-05-18,100.0959466,0.00015750070978848285,0.0001320745338711876,0.007397639863027328,1
2018-05-19,100.0750562,-0.0002087037558421434,0.00013506864455438807,0.022669856144414746,0
2018-05-20,100.0541659,-0.00020874632294243245,0.00013796258642839553,0.02142571196708909,0
2018-05-21,100.0332755,-0.00020879090652636823,0.00014106686907059188,0.02250090203844879,0
2018-05-22,100.0123851,-0.0002088345092728927,0.00014405987868197515,0.021216956405869736,0
2018-05-23,99.99149473,-0.000208877830271903,0.00014694829692767463,0.02005012271373574,0
2018-05-24,99.97060435,-0.00020892156934348982,0.00014973817965964747,0.018985471695163403,0
2018-05-25,99.94971398,-0.00020896512665724565,0.00015243491095238285,0.018009643892192395,0
2018-05-26,99.9546517,4.940204232095624e-05,0.00015127657999309985,-0.007598856141588395,1
2018-05-27,99.95958943,4.939970192507914e-05,0.00014985396347048745,-0.00940407644512642,1
2018-05-28,99.96452715,4.939716167462471e-05,0.0001484405846522497,-0.009431707947558654,1
2018-05-29,99.96946487,4.939472171550108e-05,0.0001469774331608809,-0.009856815740765912,1
2018-05-30,99.97440259,4.9392281997517884e-05,0.0001454630436854336,-0.010303550979759213,1
2018-05-31,99.97934032,4.9389942546218535e-05,0.0001438957784455609,-0.010774319030900759,1
2018-06-01,99.98427804,4.9387403279421704e-05,0.00014227393043321542,-0.011270990920411617,1
2018-06-02,99.98085962,-3.418957527134836e-05,0.0001400342200949593,-0.01574223985684753,0
2018-06-03,99.97744119,-3.4190844257597774e-05,0.00013756592009643188,-0.017626405866034922,0
2018-06-04,99.97402277,-3.419191328868365e-05,0.00013685987957049866,-0.005132379628895789,0
2018-06-05,99.97060435,-3.419308241570107e-05,0.00013611276587276625,-0.005458967961078476,0
2018-06-06,99.96718593,-3.4194251622543526e-05,0.00013532384390634584,-0.005796090920361374,0
2018-06-07,99.9637675,-3.4195520942192914e-05,0.00013449240404024614,-0.006144075146691241,0
2018-06-08,99.96034908,-3.419659027958932e-05,0.00013361759392811276,-0.006504531749403464,0
2018-06-09,99.95769031,-2.6598246449349716e-05,0.00013266378714946726,-0.007138332240578027,0
2018-06-10,99.95503153,-2.6599053977283127e-05,0.00013165496582505593,-0.0076043458888651605,0
2018-06-11,99.95237276,-2.659966146079107e-05,0.0001277964997587477,-0.02930741003294457,0
2018-06-12,99.94971398,-2.660046906932667e-05,0.00012350358980994406,-0.0335917646954943,0
2018-06-13,99.94705521,-2.660107662266764e-05,0.00011872921455073325,-0.038657785304523906,0
2018-06-14,99.94439643,-2.6601884311805435e-05,0.00011341266108311257,-0.04477881444544474,0
2018-06-15,99.94173766,-2.6602491935201478e-05,0.00010747376087767191,-0.052365407430907895,0
2018-06-16,99.94116792,-5.700721373735895e-06,0.00010102061537298577,-0.06004391631954886,0
2018-06-17,99.94059819,-5.700653813112133e-06,9.380215529719301e-05,-0.07145531680975159,0
2018-06-18,99.94002845,-5.700786370299582e-06,8.93049930247155e-05,-0.047943059071821614,0
2018-06-19,99.93945871,-5.700818869525115e-06,8.400406261974983e-05,-0.059357603930371705,0
2018-06-20,99.93888897,-5.7008513689726925e-06,7.773456286387214e-05,-0.07463329225226889,0
2018-06-21,99.93831924,-5.700783807682797e-06,7.023724803216776e-05,-0.09644763610279239,0
2018-06-22,99.9377495,-5.7009163685339814e-06,6.10610433184563e-05,-0.13064584633937926,0
2018-06-23,99.94249731,4.750767376449083e-05,5.042307740929008e-05,-0.17421854149601124,1
2018-06-24,99.94724512,4.750541689269028e-05,3.4709172219945894e-05,-0.31164113728705134,1
2018-06-25,99.95199293,4.750316023516277e-05,3.4616029734895334e-05,-0.002683512140835065,1
2018-06-26,99.95674074,4.7500903792130345e-05,3.4522524399941384e-05,-0.002701214890039494,1
2018-06-27,99.96148855,4.7498647563370966e-05,3.442866337515181e-05,-0.0027188343384799696,1
2018-06-28,99.96623636,4.7496391549106676e-05,3.4334438723068386e-05,-0.0027368083116299236,1
