date,price,return,volatility,change_in_volatility,directionality
2018-03-01,6896.36,,,,
2018-03-02,6658.37,-0.03450950936436026,,,0
2018-03-03,6658.613333333334,3.6545480851080114e-05,,,1
2018-03-04,6658.856666666667,3.654414532738848e-05,,,1
2018-03-05,6659.1,3.6542809901840556e-05,,,1
2018-03-06,6135.91,-0.07856767431034228,,,0
2018-03-07,5583.35,-0.09005347210112269,,,0
2018-03-08,5454.16,-0.02313843839272134,,,0
2018-03-09,5337.99,-0.021299338486586383,,,0
2018-03-10,5283.116666666667,-0.010279774471914194,,,0
2018-03-11,5228.243333333333,-0.010386545820491144,,,0
2018-03-12,5173.37,-0.010495558418920803,,,0
2018-03-13,5226.23,0.010217711085810599,,,1
2018-03-14,4718.46,-0.09715798960244759,,,0
2018-03-15,4533.18,-0.03926704899479905,,,0
2018-03-16,4703.95,0.0376711271116521,,,1
2018-03-17,4639.599999999999,-0.013679992346857461,,,0
2018-03-18,4575.25,-0.013869730149150716,,,0
2018-03-19,4510.9,-0.014064805201901565,,,0
2018-03-20,5138.04,0.13902768848788494,,,1
2018-03-21,5018.29,-0.023306552693244886,,,0
2018-03-22,4872.85,-0.0289819839028832,,,0
2018-03-23,4865.14,-0.0015822362683030056,,,0
2018-03-24,4719.903333333334,-0.029852515378111733,,,0
2018-03-25,4574.666666666667,-0.03077111042528413,,,0
2018-03-26,4429.43,-0.0317480326435442,,,0
2018-03-27,4505.38,0.017146675757377272,,,1
2018-03-28,4508.35,0.0006592118755799348,,,1
2018-03-29,4187.35,-0.07120121552230863,,,0
2018-03-30,3952.6,-0.05606170967318247,,,0
2018-03-31,3958.11,0.001394019126650825,0.042662907656726846,,1
2018-04-01,3963.62,0.0013920785425367566,0.042671937937620266,0.00021166585658161097,1
2018-04-02,3969.13,0.0013901433538028307,0.04269048783268086,0.0004347094591230505,1
2018-04-03,4273.45,0.07667171395242778,0.045871513272598946,0.07451368212013998,1
2018-04-04,3875.05,-0.09322678398015649,0.04802039369943811,0.04684564064998464,0
2018-04-05,3935.75,0.015664314008851488,0.04690851518085677,-0.023154298266287454,1
2018-04-06,3822.69,-0.028726418090579964,0.044750276132789105,-0.04600953664268692,0
2018-04-07,3827.683333333333,0.0013062354868778048,0.04475539781985039,0.00011445040129109962,1
2018-04-08,3832.6766666666663,0.0013045314615889314,0.04476247635856134,0.00015816055840778276,1
2018-04-09,3837.67,0.0013028318764172209,0.04481014825861909,0.0010649969335003728,1
2018-04-10,4001.23,0.04261961033648021,0.04581352742924226,0.022391784218883215,1
2018-04-11,4249.36,0.062013430870007324,0.047550211647184315,0.037907673025708855,1
2018-04-12,4774.55,0.1235927292580532,0.053028743184188,0.11521571297418398,1
2018-04-13,5262.69,0.10223790723733117,0.05314463050270327,0.00218536800151492,1
2018-04-14,5277.083333333333,0.0027349764727417902,0.052488291774984513,-0.012350047813115883,1
2018-04-15,5291.4766666666665,0.0027275167785234533,0.05215636487582941,-0.006323827427611062,1
2018-04-16,5305.87,0.002720097666498944,0.05203742448224794,-0.0022804578859096925,1
2018-04-17,5419.56,0.021427211748497488,0.05197751343462305,-0.0011513069338267012,1
2018-04-18,5827.07,0.07519245104768646,0.05327293153392911,0.024922663931113753,1
2018-04-19,6140.38,0.0537680172024706,0.04817735464776911,-0.09565039391373964,1
2018-04-20,6649.35,0.0828890068692818,0.04974507812593216,0.03254067164178864,1
2018-04-21,6715.136666666667,0.00989369888284819,0.0491815749931425,-0.011327816821658732,1
2018-04-22,6780.923333333333,0.009796772565065615,0.04911788118460617,-0.001295074599485746,1
2018-04-23,6846.71,0.009701726952622503,0.04847471602518772,-0.013094318075349332,1
2018-04-24,7847.5,0.146170934653286,0.05340444501732169,0.10169691328511243,1
2018-04-25,7081.91,-0.0975584581076776,0.05682395126944523,0.06403036771591619,0
2018-04-26,7220.75,0.019604880604243702,0.05682549771848956,2.7214739731773463e-05,1
2018-04-27,7681.4,0.06379531212131706,0.05735157652981906,0.009257795047139972,1
2018-04-28,7875.196666666667,0.02522934187344328,0.054736365823587874,-0.04559963063738004,1
2018-04-29,8068.993333333334,0.024608485967969607,0.05267647081057857,-0.03763302480928721,1
2018-04-30,8262.79,0.024017452817328033,0.05248271173359847,-0.0036782850862741023,1
2018-05-01,7902.94,-0.043550665090121066,0.0538374955084646,0.025813905762777534,0
2018-05-02,8314.74,0.05210719048860302,0.05387839099437441,0.0007596097389666046,1
2018-05-03,8621.37,0.036877881930162726,0.05308032140369571,-0.01481242434953245,1
2018-05-04,8362.31,-0.03004858856539061,0.04934984192871381,-0.07027989613345031,0
2018-05-05,8266.076666666666,-0.011507984436517349,0.049814397605448715,0.009413519042390295,0
2018-05-06,8169.843333333333,-0.01164195993020467,0.04925928678180857,-0.011143581982800632,0
2018-05-07,8073.61,-0.011779091643128181,0.04954968499855503,0.005895298850605801,0
2018-05-08,8134.01,0.007481163940294522,0.04945480593901372,-0.0019148266945405723,1
2018-05-09,8091.78,-0.00519178117558261,0.04958317265325728,0.0025956368002304497,0
2018-05-10,7737.71,-0.043756750677848344,0.051089682203965606,0.030383484357557666,0
2018-05-11,6861.88,-0.11318981972702513,0.05627985103749329,0.10158937401111534,0
2018-05-12,6962.54,0.014669449188851935,0.05260012450822449,-0.06538266291460848,1
2018-05-13,7063.2,0.014457367569881141,0.04989316049626305,-0.05146307232672387,1
2018-05-14,7163.86,0.01425133084154484,0.04987123852172742,-0.0004393783500098447,1
2018-05-15,6788.59,-0.05238377076045586,0.05120050449651744,0.026653959560496876,0
