date,price,return,volatility,change_in_volatility,directionality
2018-03-01,10929.765497461,,,,
2018-03-02,11095.091955664,0.015126258494878586,,,1
2018-03-03,11494.898944222,0.03603458088996736,,,1
2018-03-04,11516.383565834,0.0018690570240114113,,,1
2018-03-05,11527.568787431,0.0009712442741300897,,,1
2018-03-06,10697.57229427,-0.07200100111881191,,,0
2018-03-07,9968.268316381,-0.06817471832180477,,,0
2018-03-08,9433.592923413,-0.05363774087916151,,,0
2018-03-09,9345.521676052,-0.009335917722548603,,,0
2018-03-10,8894.85712022,-0.048222514638945446,,,0
2018-03-11,9570.367448236,0.07594392117670035,,,1
2018-03-12,9216.378705589,-0.03698799910887918,,,0
2018-03-13,9208.440502074,-0.0008613148144820393,,,0
2018-03-14,8262.032897029,-0.10277610034314089,,,0
2018-03-15,8291.944665773,0.0036203884826888633,,,1
2018-03-16,8315.139162841,0.0027972324952600935,,,1
2018-03-17,7906.383969743,-0.049157949746007845,,,0
2018-03-18,8092.439641691,0.023532334460357296,,,1
2018-03-19,8588.661985749,0.061319251799116126,,,1
2018-03-20,8892.783654103,0.03540966786894417,,,1
2018-03-21,8978.018989541,0.00958477556110049,,,1
2018-03-22,8721.57,-0.02856409524637371,,,0
2018-03-23,8865.051157414,0.016451299182830725,,,1
2018-03-24,8661.018753079,-0.02301536682778904,,,0
2018-03-25,8466.556129044,-0.02245262706143769,,,0
2018-03-26,8187.383924464,-0.032973525519108815,,,0
2018-03-27,7828.22173159,-0.04386775998140502,,,0
2018-03-28,7954.826953349,0.016172922293207215,,,1
2018-03-29,7178.058622813,-0.09764742025079243,,,0
2018-03-30,6880.453143775,-0.04146044141965666,,,0
2018-03-31,6955.124517538,0.010852682549049586,0.04286873520537189,,1
2018-04-01,6830.630577316,-0.01789959905219185,0.042516301898191874,-0.008221220091789716,0
2018-04-02,7061.622525898,0.033817075300354604,0.042426079551380384,-0.0021220647794705227,1
2018-04-03,7454.691790393,0.05566274082952538,0.04427009612638962,0.043464222820212006,1
2018-04-04,6840.936109893,-0.08233146289038507,0.045917505571011784,0.03721269183420928,0
2018-04-05,6819.726657106,-0.003100372879718649,0.04473856670233231,-0.025675150555733772,0
2018-04-06,6637.296686235,-0.026750334733857906,0.04363155440965239,-0.024744026782203776,0
2018-04-07,6894.151859073,0.03869876321344634,0.0438877363301681,0.005871482783089466,1
2018-04-08,7000.923354625,0.015487256117151516,0.04412335832804917,0.005368743471034554,1
2018-04-09,6772.871609032,-0.03257452396509131,0.04372984206161695,-0.008918547484679129,0
2018-04-10,6844.301557074,0.01054647897750538,0.040936500629916335,-0.06387723577333526,1
2018-04-11,6932.843296341,0.012936563143610469,0.04082804620969394,-0.00264933295600589,1
2018-04-12,7821.822516784,0.12822721969097217,0.04786906260597686,0.17245538422583517,1
2018-04-13,7866.931622664,0.005767083794500083,0.04412612898634923,-0.0781910782426789,1
2018-04-14,7910.243775102,0.005505596656416811,0.04413383119965045,0.0001745499430416686,1
2018-04-15,8301.987534486,0.04952360136068612,0.04507362182940152,0.021294109398744432,1
2018-04-16,8038.471104588,-0.03174136660689575,0.04451502916107316,-0.012392895127056103,0
2018-04-17,7889.503630474,-0.018531816831309667,0.04445968473751668,-0.0012432750151913918,0
2018-04-18,8133.862763488,0.03097268782159368,0.04335020904793515,-0.024954645902950268,1
2018-04-19,8280.643109928,0.018045589249290117,0.042962746663614264,-0.008937958843345917,1
2018-04-20,8813.044081412,0.06429464045439692,0.04457971340478854,0.03763648432058253,1
2018-04-21,8884.348603911,0.008090793809756525,0.044261518873837884,-0.007137653130728339,1
2018-04-22,8787.210205792,-0.010933654502957912,0.04422612403499733,-0.0007996751973523564,0
2018-04-23,8924.023356307,0.015569577523571798,0.044075142863965626,-0.0034138458733626864,1
2018-04-24,9715.110087646,0.08864686921509501,0.046553546284715044,0.05623131905434331,1
2018-04-25,8846.751894883,-0.08938222880945301,0.04922894169098997,0.05746920739211969,0
2018-04-26,9268.527836866,0.04767579638205488,0.04901205450137673,-0.004405684586409331,1
2018-04-27,8974.089790534,-0.031767509524097015,0.049475422132055316,0.009454156439525851,0
2018-04-28,9337.281362637,0.040471131956591355,0.045869165514986085,-0.07288986049363533,1
2018-04-29,9413.40930469,0.008153116426117712,0.044839716320400104,-0.02244316379049116,1
2018-04-30,9240.335679495,-0.018385859957111506,0.04517001324858593,0.0073661689968265165,0
2018-05-01,9096.810021871,-0.015532515549461445,0.04512075330721577,-0.0010905452052684117,0
2018-05-02,9236.704388957,0.015378398224175083,0.04491827917914693,-0.004487383592429062,1
2018-05-03,9769.29029264,0.05765973243874045,0.04498977547220545,0.001591697063312969,1
2018-05-04,9718.724265271,-0.005176018508437297,0.04160649493017124,-0.07520109861682667,0
2018-05-05,9864.060648696,0.014954265545360501,0.041502122326336,-0.002508565165376342,1
2018-05-06,9666.853489071,-0.019992492610137247,0.041295664587846725,-0.0049746308602214295,0
2018-05-07,9372.87800412,-0.03041066933344516,0.041761834716015536,0.011288597309704107,0
2018-05-08,9233.687914131,-0.014850304242498114,0.04201885123656774,0.006154339776974327,0
2018-05-09,9327.374046577,0.01014612290530481,0.041239245069147445,-0.018553723970964442,1
2018-05-10,9037.392111957,-0.03108934338560365,0.04196761162856271,0.017661976066583707,0
2018-05-11,8422.663809755,-0.06802054116791934,0.0443186145677217,0.056019459957995954,0
2018-05-12,8488.213129483,0.007782492713538147,0.038005260073101794,-0.1424537873351771,1
2018-05-13,8699.820502933,0.02492955469214153,0.038206436101750174,0.005293373292576398,1
